State	Up	Down	Left	Right	Policy
((0, 2), (3, 8))	-72.44	-72.45	-71.81	-72.37	LEFT
((0, 2), (3, 9))	-75.03	-75.08	-74.64	-75.74	LEFT
((0, 2), (3, 10))	-22.16	-22.36	-22.56	-22.44	UP
((0, 2), (4, 1))	-781.26	-782.32	-781.30	-780.64	RIGHT
((0, 2), (4, 2))	-776.20	-776.19	-777.14	-775.83	RIGHT
((0, 2), (4, 4))	-635.95	-635.17	-635.60	-635.74	DOWN
((0, 2), (4, 5))	-465.39	-465.80	-465.14	-465.64	LEFT
((0, 2), (4, 6))	-295.95	-295.48	-295.71	-295.86	DOWN
((0, 2), (4, 7))	-99.06	-99.33	-100.05	-99.03	RIGHT
((0, 2), (4, 8))	-115.94	-116.04	-115.25	-116.24	LEFT
((0, 2), (4, 9))	-89.90	-89.16	-90.08	-90.35	DOWN
((0, 2), (4, 10))	-70.00	-70.35	-70.00	-70.29	UP
((0, 3), (1, 1))	-736.36	-736.11	-736.57	-735.47	RIGHT
((0, 3), (1, 2))	-737.38	-740.64	-736.36	-735.51	RIGHT
((0, 3), (1, 3))	-650.36	-1012.80	-340.87	-700.84	LEFT
((0, 3), (1, 4))	-333.15	-247.90	-351.44	-360.24	DOWN
((0, 3), (1, 5))	-282.26	-298.80	-337.60	-207.03	RIGHT
((0, 3), (1, 8))	-31.26	-31.85	-32.00	-31.35	UP
((0, 3), (1, 9))	-65.71	-86.19	-65.44	-65.64	LEFT
((0, 3), (1, 10))	0.00	-1.40	0.00	-1.40	UP
((0, 3), (2, 1))	-750.26	-773.80	-751.82	-749.88	RIGHT
((0, 3), (2, 2))	-730.73	-731.05	-731.72	-728.34	RIGHT
((0, 3), (2, 4))	-689.47	-689.92	-689.36	-689.69	LEFT
((0, 3), (2, 5))	-579.54	-655.04	-606.40	-293.75	RIGHT
((0, 3), (2, 8))	-93.66	-96.39	-93.09	-93.78	LEFT
((0, 3), (2, 9))	-79.18	-97.67	-79.71	-81.84	UP
((0, 3), (2, 10))	-28.02	-26.45	-26.42	-27.38	LEFT
((0, 3), (2, 11))	-7.43	-6.91	-7.54	-6.28	RIGHT
((0, 3), (3, 1))	-763.09	-780.41	-762.92	-762.64	RIGHT
((0, 3), (3, 2))	-752.96	-753.29	-753.85	-753.00	UP
((0, 3), (3, 4))	-671.08	-670.74	-671.17	-671.44	DOWN
((0, 3), (3, 5))	-507.91	-546.26	-507.28	-407.65	RIGHT
((0, 3), (3, 7))	-74.76	-74.98	-75.45	-75.32	UP
((0, 3), (3, 8))	-77.04	-82.20	-77.67	-77.69	UP
((0, 3), (3, 9))	-81.37	-81.67	-81.77	-82.54	UP
((0, 3), (3, 10))	-26.65	-26.56	-26.95	-26.17	RIGHT
((0, 3), (4, 1))	-771.45	-776.44	-771.64	-771.26	RIGHT
((0, 3), (4, 2))	-776.33	-786.72	-776.75	-777.00	UP
((0, 3), (4, 4))	-640.82	-641.10	-641.14	-640.88	UP
((0, 3), (4, 5))	-467.75	-468.11	-468.42	-467.94	UP
((0, 3), (4, 6))	-304.70	-322.45	-302.29	-301.57	RIGHT
((0, 3), (4, 7))	-102.94	-103.71	-103.86	-103.57	UP
((0, 3), (4, 8))	-123.68	-163.06	-123.09	-124.29	LEFT
((0, 3), (4, 9))	-94.13	-94.19	-94.12	-95.61	LEFT
((0, 3), (4, 10))	-75.59	-76.36	-76.22	-75.35	RIGHT
((0, 4), (1, 1))	-729.91	-729.56	-730.93	-729.69	DOWN
((0, 4), (1, 2))	-728.00	-727.96	-729.98	-727.63	RIGHT
((0, 4), (1, 3))	-707.17	-706.48	-592.81	-722.32	LEFT
((0, 4), (1, 4))	-543.99	-695.41	-319.90	-694.27	LEFT
((0, 4), (1, 5))	-194.12	-271.32	-267.06	-78.32	RIGHT
((0, 4), (1, 8))	-38.14	-37.70	-38.15	-37.41	RIGHT
((0, 4), (1, 9))	-69.44	-70.32	-69.55	-69.69	UP
((0, 4), (1, 10))	0.00	-1.44	-1.50	-1.30	UP
((0, 4), (2, 1))	-744.47	-741.05	-746.63	-743.27	DOWN
((0, 4), (2, 2))	-723.56	-715.82	-723.09	-735.09	DOWN
((0, 4), (2, 4))	-692.46	-692.47	-692.46	-692.05	RIGHT
((0, 4), (2, 5))	-319.68	-335.75	-440.46	-257.82	RIGHT
((0, 4), (2, 8))	-99.08	-98.32	-99.09	-104.25	DOWN
((0, 4), (2, 9))	-82.19	-81.71	-82.32	-103.24	DOWN
((0, 4), (2, 10))	-33.12	-34.92	-33.15	-33.27	UP
((0, 4), (2, 11))	-8.61	-9.70	-8.41	-8.40	RIGHT
((0, 4), (3, 1))	-754.48	-754.17	-753.34	-753.17	RIGHT
((0, 4), (3, 2))	-749.48	-749.35	-750.46	-741.81	RIGHT
((0, 4), (3, 4))	-676.03	-677.07	-676.11	-676.66	UP
((0, 4), (3, 5))	-398.63	-264.23	-500.18	-474.01	DOWN
((0, 4), (3, 7))	-79.35	-80.01	-79.35	-79.24	RIGHT
((0, 4), (3, 8))	-80.27	-81.76	-79.67	-79.75	LEFT
((0, 4), (3, 9))	-88.53	-89.68	-88.69	-116.89	UP
((0, 4), (3, 10))	-30.47	-30.50	-31.26	-31.14	UP
((0, 4), (4, 1))	-762.68	-760.65	-762.12	-761.95	DOWN
((0, 4), (4, 2))	-775.43	-775.16	-775.07	-792.84	LEFT
((0, 4), (4, 4))	-644.69	-644.75	-644.48	-660.19	LEFT
((0, 4), (4, 5))	-469.05	-415.19	-468.74	-469.18	DOWN
((0, 4), (4, 6))	-309.78	-310.81	-309.72	-337.20	LEFT
((0, 4), (4, 7))	-108.09	-108.13	-108.20	-108.56	UP
((0, 4), (4, 8))	-131.88	-131.48	-131.34	-131.24	RIGHT
((0, 4), (4, 9))	-99.62	-98.86	-97.88	-98.98	LEFT
((0, 4), (4, 10))	-81.51	-81.44	-81.21	-87.28	LEFT
((0, 5), (1, 1))	-723.12	-748.95	-724.73	-940.48	UP
((0, 5), (1, 2))	-695.84	-695.04	-695.30	-976.76	DOWN
((0, 5), (1, 3))	-674.05	-674.85	-679.45	-970.05	UP
((0, 5), (1, 4))	-661.90	-651.80	-573.78	-1010.18	LEFT
((0, 5), (1, 5))	-257.37	16.45	-167.00	-1014.00	DOWN
((0, 5), (1, 8))	-37.27	-37.65	-38.41	-192.28	UP
((0, 5), (1, 9))	-57.27	-59.38	-59.40	-474.18	UP
((0, 5), (1, 10))	-1.30	0.00	-1.40	-101.20	DOWN
((0, 5), (2, 1))	-748.47	-747.39	-745.39	-940.48	LEFT
((0, 5), (2, 2))	-701.84	-731.07	-703.15	-997.02	UP
((0, 5), (2, 4))	-688.42	-688.03	-688.22	-934.96	DOWN
((0, 5), (2, 5))	-256.41	-72.18	-265.32	-1013.99	DOWN
((0, 5), (2, 8))	-100.66	-114.31	-100.66	-274.25	LEFT
((0, 5), (2, 9))	-72.86	-74.10	-74.28	-348.03	UP
((0, 5), (2, 10))	-20.64	-22.62	-19.96	-192.28	LEFT
((0, 5), (2, 11))	-12.49	-11.15	-10.46	-101.20	LEFT
((0, 5), (3, 1))	-748.36	-737.46	-746.61	-948.63	DOWN
((0, 5), (3, 2))	-725.56	-722.53	-725.09	-946.77	DOWN
((0, 5), (3, 4))	-697.70	-680.92	-678.25	-925.95	LEFT
((0, 5), (3, 5))	-505.38	-426.80	-207.52	-955.04	LEFT
((0, 5), (3, 7))	-80.40	-79.97	-80.59	-414.42	DOWN
((0, 5), (3, 8))	-100.20	-81.44	-80.80	-414.42	LEFT
((0, 5), (3, 9))	-90.52	-90.30	-90.88	-414.42	DOWN
((0, 5), (3, 10))	-43.73	-36.02	-35.18	-192.28	LEFT
((0, 5), (4, 1))	-759.51	-755.48	-757.51	-883.94	DOWN
((0, 5), (4, 2))	-787.20	-777.19	-773.61	-971.96	LEFT
((0, 5), (4, 4))	-630.86	-630.37	-632.21	-943.06	DOWN
((0, 5), (4, 5))	-467.88	-314.05	-467.76	-782.03	DOWN
((0, 5), (4, 6))	-318.87	-309.32	-307.85	-619.93	LEFT
((0, 5), (4, 7))	-112.46	-130.52	-111.71	-348.03	LEFT
((0, 5), (4, 8))	-149.47	-134.82	-134.94	-414.42	DOWN
((0, 5), (4, 9))	-140.80	-99.68	-98.34	-619.93	LEFT
((0, 5), (4, 10))	-82.25	-80.88	-80.17	-348.03	LEFT
((0, 8), (1, 1))	-642.70	-643.77	-922.26	-642.59	RIGHT
((0, 8), (1, 2))	-634.98	-621.71	-896.87	-624.22	DOWN
((0, 8), (1, 3))	-634.76	-641.09	-785.89	-627.32	RIGHT
((0, 8), (1, 4))	-560.27	-551.85	-807.61	-552.08	DOWN
((0, 8), (1, 5))	-587.26	-587.04	-967.19	-587.45	DOWN
((0, 8), (1, 8))	-139.21	-114.47	-527.44	-110.78	RIGHT
((0, 8), (1, 9))	371.09	447.33	-1010.13	272.37	DOWN
((0, 8), (1, 10))	74.57	82.41	-273.98	605.11	RIGHT
((0, 8), (1, 11))	-32.17	54.50	-101.10	-32.28	DOWN
((0, 8), (1, 12))	-29.18	-36.15	-273.98	-30.07	UP
((0, 8), (1, 13))	0.00	-0.90	-101.10	-0.90	UP
((0, 8), (2, 1))	-658.80	-658.98	-734.07	-660.10	UP
((0, 8), (2, 2))	-596.07	-623.51	-831.81	-596.00	RIGHT
((0, 8), (2, 4))	-535.55	-535.10	-916.85	-537.57	DOWN
((0, 8), (2, 5))	-516.17	-510.29	-903.94	-483.00	RIGHT
((0, 8), (2, 8))	-163.52	-162.30	-527.44	-157.28	RIGHT
((0, 8), (2, 9))	-91.93	-92.76	-527.44	-91.85	RIGHT
((0, 8), (2, 10))	-73.26	-73.57	-473.71	-73.96	UP
((0, 8), (2, 11))	-39.51	-52.52	-347.68	-39.08	RIGHT
((0, 8), (2, 13))	-1.00	-0.90	0.00	0.00	LEFT
((0, 8), (3, 1))	-664.94	-659.66	-932.33	-643.01	RIGHT
((0, 8), (3, 2))	-656.49	-656.12	-930.51	-656.49	DOWN
((0, 8), (3, 4))	-605.29	-587.32	-807.61	-587.24	RIGHT
((0, 8), (3, 5))	-428.43	-396.53	-782.80	-398.21	DOWN
((0, 8), (3, 7))	-182.06	-146.49	-658.49	-142.21	RIGHT
((0, 8), (3, 8))	-164.66	-177.40	-527.44	-146.36	RIGHT
((0, 8), (3, 9))	-120.41	-121.03	-802.84	-122.46	UP
((0, 8), (3, 10))	-80.90	-97.83	-527.44	-81.17	UP
((0, 8), (4, 1))	-703.67	-690.72	-869.45	-691.79	DOWN
((0, 8), (4, 2))	-682.78	-671.09	-896.87	-672.25	DOWN
((0, 8), (4, 4))	-569.12	-568.74	-893.36	-571.00	DOWN
((0, 8), (4, 5))	-312.54	-310.16	-826.92	-308.55	RIGHT
((0, 8), (4, 6))	-260.09	-277.56	-620.54	-258.67	RIGHT
((0, 8), (4, 7))	-203.25	-156.67	-754.02	-158.63	DOWN
((0, 8), (4, 8))	-146.19	-146.92	-347.68	-147.75	UP
((0, 8), (4, 9))	-118.76	-122.13	-619.32	-120.43	UP
((0, 8), (4, 10))	-133.47	-119.94	-575.80	-122.72	DOWN
((0, 9), (1, 1))	-641.59	-643.53	-642.34	-642.87	UP
((0, 9), (1, 2))	-621.74	-622.57	-621.57	-621.11	RIGHT
((0, 9), (1, 3))	-626.04	-625.19	-625.15	-625.81	LEFT
((0, 9), (1, 4))	-553.40	-552.69	-552.49	-553.21	LEFT
((0, 9), (1, 5))	-588.47	-589.48	-588.60	-589.45	UP
((0, 9), (1, 8))	-123.60	-128.41	-149.72	-121.44	RIGHT
((0, 9), (1, 9))	264.90	83.54	210.13	264.35	UP
((0, 9), (1, 10))	573.03	654.52	456.46	405.97	DOWN
((0, 9), (1, 11))	125.13	620.29	-30.93	-32.79	DOWN
((0, 9), (1, 12))	-30.05	-29.79	-30.42	81.93	RIGHT
((0, 9), (1, 13))	-1.80	-2.34	-1.90	-1.72	RIGHT
((0, 9), (2, 1))	-658.63	-659.06	-658.00	-658.38	LEFT
((0, 9), (2, 2))	-597.71	-600.63	-621.71	-596.79	RIGHT
((0, 9), (2, 4))	-547.86	-546.94	-565.43	-547.79	DOWN
((0, 9), (2, 5))	-480.66	-480.49	-515.53	-480.81	DOWN
((0, 9), (2, 8))	-154.00	-154.76	-154.63	-154.26	UP
((0, 9), (2, 9))	-125.20	-108.43	-156.57	-124.71	DOWN
((0, 9), (2, 10))	-72.55	-73.34	-72.90	-73.27	UP
((0, 9), (2, 11))	-42.20	-42.39	-41.94	-42.10	LEFT
((0, 9), (2, 13))	0.00	0.00	-1.00	0.00	UP
((0, 9), (3, 1))	-643.29	-642.79	-643.19	-644.45	DOWN
((0, 9), (3, 2))	-655.90	-655.44	-654.67	-655.67	LEFT
((0, 9), (3, 4))	-592.26	-593.57	-610.77	-593.48	UP
((0, 9), (3, 5))	-401.13	-402.37	-401.67	-402.36	UP
((0, 9), (3, 7))	-145.82	-145.53	-171.25	-146.23	DOWN
((0, 9), (3, 8))	-147.41	-147.21	-176.02	-147.03	RIGHT
((0, 9), (3, 9))	-137.48	-138.35	-190.36	-137.87	UP
((0, 9), (3, 10))	-82.16	-81.90	-81.89	-82.44	LEFT
((0, 9), (4, 1))	-690.82	-691.88	-690.97	-692.08	UP
((0, 9), (4, 2))	-672.51	-672.00	-671.60	-670.27	RIGHT
((0, 9), (4, 4))	-586.40	-586.61	-604.24	-586.40	UP
((0, 9), (4, 5))	-331.03	-330.71	-339.01	-331.28	DOWN
((0, 9), (4, 6))	-257.04	-256.89	-256.78	-257.66	LEFT
((0, 9), (4, 7))	-152.59	-152.49	-208.07	-153.52	DOWN
((0, 9), (4, 8))	-155.50	-154.31	-169.75	-154.52	DOWN
((0, 9), (4, 9))	-160.90	-160.33	-180.51	-161.07	DOWN
((0, 9), (4, 10))	-159.09	-159.45	-173.70	-159.82	UP
((0, 10), (1, 1))	-641.79	-642.43	-640.55	-641.37	LEFT
((0, 10), (1, 2))	-618.46	-617.41	-618.47	-616.43	RIGHT
((0, 10), (1, 3))	-621.68	-622.13	-620.84	-621.27	LEFT
((0, 10), (1, 4))	-548.96	-549.69	-549.89	-549.94	UP
((0, 10), (1, 5))	-588.07	-588.66	-587.94	-587.53	RIGHT
((0, 10), (1, 8))	-119.57	-119.63	-122.45	-118.94	RIGHT
((0, 10), (1, 9))	258.58	269.51	258.48	256.69	DOWN
((0, 10), (1, 10))	-37.86	-42.50	602.57	-33.98	LEFT
((0, 10), (1, 11))	532.22	687.36	488.23	329.59	DOWN
((0, 10), (1, 12))	114.04	115.36	-26.74	574.52	RIGHT
((0, 10), (1, 13))	66.76	-2.76	-3.39	718.46	RIGHT
((0, 10), (2, 1))	-655.35	-655.71	-655.25	-655.67	LEFT
((0, 10), (2, 2))	-593.55	-595.64	-594.40	-593.59	UP
((0, 10), (2, 4))	-545.15	-545.01	-544.94	-545.34	LEFT
((0, 10), (2, 5))	-474.78	-475.70	-477.29	-475.44	UP
((0, 10), (2, 8))	-151.70	-152.06	-152.07	-152.35	UP
((0, 10), (2, 9))	-123.73	-123.62	-124.10	-124.16	DOWN
((0, 10), (2, 10))	-71.82	-72.67	-71.76	-72.36	LEFT
((0, 10), (2, 11))	-43.40	-42.99	-43.39	-42.67	RIGHT
((0, 10), (2, 13))	0.00	0.00	-0.90	-0.70	UP
((0, 10), (3, 1))	-641.97	-642.81	-642.57	-640.92	RIGHT
((0, 10), (3, 2))	-652.33	-653.71	-651.93	-652.00	LEFT
((0, 10), (3, 4))	-593.29	-592.41	-591.78	-592.28	LEFT
((0, 10), (3, 5))	-401.46	-400.84	-400.70	-401.27	LEFT
((0, 10), (3, 7))	-143.29	-144.07	-143.69	-145.09	UP
((0, 10), (3, 8))	-147.22	-147.37	-147.35	-146.61	RIGHT
((0, 10), (3, 9))	-137.82	-137.44	-137.92	-137.57	DOWN
((0, 10), (3, 10))	-82.70	-83.01	-83.03	-82.42	RIGHT
((0, 10), (3, 13))	0.00	-0.70	0.00	0.00	UP
((0, 10), (4, 1))	-689.08	-690.17	-689.16	-690.16	UP
((0, 10), (4, 2))	-668.63	-668.91	-667.86	-667.08	RIGHT
((0, 10), (4, 4))	-584.00	-584.91	-585.41	-584.02	UP
((0, 10), (4, 5))	-328.78	-327.86	-328.49	-328.67	DOWN
((0, 10), (4, 6))	-255.36	-255.89	-255.44	-256.39	UP
((0, 10), (4, 7))	-152.80	-152.14	-154.52	-151.66	RIGHT
((0, 10), (4, 8))	-152.79	-152.19	-152.06	-152.70	LEFT
((0, 10), (4, 9))	-160.20	-159.77	-160.39	-159.63	RIGHT
((0, 10), (4, 10))	-160.36	-160.70	-160.69	-160.44	UP
((0, 11), (1, 1))	-637.53	-639.22	-637.84	-638.75	UP
((0, 11), (1, 2))	-611.24	-610.45	-612.03	-611.02	DOWN
((0, 11), (1, 3))	-617.26	-616.90	-616.56	-617.06	LEFT
((0, 11), (1, 4))	-545.08	-544.16	-544.98	-544.52	DOWN
((0, 11), (1, 5))	-586.39	-585.66	-586.83	-585.91	DOWN
((0, 11), (1, 8))	-117.40	-117.84	-116.88	-117.40	LEFT
((0, 11), (1, 9))	43.75	-14.81	289.48	-105.12	LEFT
((0, 11), (1, 10))	-37.14	-37.01	69.62	-37.39	LEFT
((0, 11), (1, 11))	-32.08	-31.89	512.10	-31.82	LEFT
((0, 11), (1, 12))	516.24	701.19	492.60	511.47	DOWN
((0, 11), (1, 13))	664.01	646.19	626.77	831.54	RIGHT
((0, 11), (2, 1))	-650.48	-651.74	-651.18	-651.73	UP
((0, 11), (2, 2))	-588.84	-589.12	-588.96	-587.57	RIGHT
((0, 11), (2, 4))	-538.77	-539.65	-539.54	-537.91	RIGHT
((0, 11), (2, 5))	-469.03	-469.38	-468.85	-469.05	LEFT
((0, 11), (2, 8))	-150.49	-150.50	-149.88	-149.42	RIGHT
((0, 11), (2, 9))	-122.74	-122.24	-122.12	-123.24	LEFT
((0, 11), (2, 10))	-70.64	-71.52	-70.18	-70.27	LEFT
((0, 11), (2, 11))	-42.97	-45.25	-43.12	-42.43	RIGHT
((0, 11), (2, 13))	-0.76	198.70	-1.52	-0.65	DOWN
((0, 11), (3, 1))	-635.26	-636.78	-636.69	-635.35	UP
((0, 11), (3, 2))	-645.72	-646.82	-647.90	-645.89	UP
((0, 11), (3, 4))	-589.03	-589.17	-589.02	-589.69	LEFT
((0, 11), (3, 5))	-398.73	-397.93	-397.67	-398.57	LEFT
((0, 11), (3, 7))	-142.69	-142.05	-142.26	-143.04	DOWN
((0, 11), (3, 8))	-145.97	-145.47	-144.67	-144.84	LEFT
((0, 11), (3, 9))	-136.92	-138.43	-137.55	-137.45	UP
((0, 11), (3, 10))	-81.66	-81.93	-82.12	-81.54	RIGHT
((0, 11), (3, 13))	-0.70	-0.60	-0.80	0.00	RIGHT
((0, 11), (4, 1))	-684.25	-685.14	-686.37	-683.10	RIGHT
((0, 11), (4, 2))	-660.75	-660.87	-662.48	-660.25	RIGHT
((0, 11), (4, 4))	-581.00	-580.70	-581.43	-580.34	RIGHT
((0, 11), (4, 5))	-323.80	-324.66	-324.93	-324.43	UP
((0, 11), (4, 6))	-253.33	-252.25	-253.43	-253.06	DOWN
((0, 11), (4, 7))	-148.91	-149.55	-150.34	-149.10	UP
((0, 11), (4, 8))	-148.87	-149.22	-149.52	-149.47	UP
((0, 11), (4, 9))	-157.08	-158.37	-157.91	-157.86	UP
((0, 11), (4, 10))	-159.56	-159.48	-159.87	-162.43	DOWN
((0, 12), (1, 1))	-634.29	-634.89	-635.48	-633.05	RIGHT
((0, 12), (1, 2))	-605.15	-606.28	-605.01	-606.41	LEFT
((0, 12), (1, 3))	-611.73	-611.56	-610.54	-610.93	LEFT
((0, 12), (1, 4))	-537.92	-571.67	-538.81	-538.00	UP
((0, 12), (1, 5))	-586.60	-586.40	-586.94	-586.95	DOWN
((0, 12), (1, 8))	-114.19	-113.84	-113.33	-114.11	LEFT
((0, 12), (1, 9))	-116.32	-116.83	8.62	-116.37	LEFT
((0, 12), (1, 10))	-35.48	-34.72	-35.68	-35.30	DOWN
((0, 12), (1, 11))	-29.06	-29.52	-30.60	-29.19	UP
((0, 12), (1, 12))	17.62	-411.56	552.62	-19.04	LEFT
((0, 12), (1, 13))	783.04	743.64	744.28	828.72	RIGHT
((0, 12), (2, 1))	-649.56	-651.44	-650.06	-650.04	UP
((0, 12), (2, 2))	-583.30	-582.94	-581.74	-579.90	RIGHT
((0, 12), (2, 4))	-531.21	-552.50	-531.46	-531.74	UP
((0, 12), (2, 5))	-463.52	-498.92	-464.74	-463.56	UP
((0, 12), (2, 8))	-147.45	-147.96	-148.00	-146.95	RIGHT
((0, 12), (2, 9))	-123.87	-126.33	-123.18	-123.91	LEFT
((0, 12), (2, 10))	-66.40	-69.43	-67.06	-66.59	UP
((0, 12), (2, 11))	-38.98	-38.85	-39.61	-38.95	DOWN
((0, 12), (2, 13))	72.44	644.58	29.38	364.72	DOWN
((0, 12), (3, 1))	-631.06	-629.88	-629.85	-631.20	LEFT
((0, 12), (3, 2))	-638.94	-639.05	-641.21	-639.43	UP
((0, 12), (3, 4))	-585.73	-587.72	-586.36	-585.20	RIGHT
((0, 12), (3, 5))	-394.13	-394.26	-393.63	-394.21	LEFT
((0, 12), (3, 7))	-138.27	-137.07	-138.99	-138.76	DOWN
((0, 12), (3, 8))	-140.82	-140.23	-140.60	-141.08	DOWN
